row,column,cor,p
Otu001251,Otu001618,1,0
Otu001284,Otu001618,1,0
Otu001363,Otu001618,1,0
Otu001415,Otu001618,1,0
Otu001434,Otu001618,1,0
Otu001468,Otu001618,1,0
Otu000415,Otu001683,1,0
Otu000195,Otu001695,1,0
Otu000393,Otu001695,1,0
Otu000423,Otu001695,1,0
Otu000586,Otu001730,1,0
Otu000600,Otu001730,1,0
Otu000620,Otu001730,1,0
Otu000675,Otu001730,1,0
Otu000711,Otu001730,1,0
Otu000772,Otu001730,1,0
Otu000775,Otu001730,1,0
Otu000840,Otu001730,1,0
Otu000953,Otu001730,1,0
Otu001074,Otu001730,1,0
Otu001103,Otu001730,1,0
Otu001132,Otu001730,1,0
Otu001417,Otu001730,1,0
Otu001533,Otu001730,1,0
Otu000202,Otu001734,1,0
Otu000590,Otu001734,1,0
Otu000592,Otu001734,1,0
Otu000682,Otu001734,1,0
Otu000928,Otu001734,1,0
Otu000492,Otu001737,1,0
Otu000832,Otu001737,1,0
Otu001018,Otu001737,1,0
Otu001423,Otu001737,1,0
Otu001473,Otu001737,1,0
Otu000764,Otu001755,1,0
Otu000864,Otu001755,1,0
Otu001376,Otu001755,1,0
Otu001390,Otu001755,1,0
Otu000209,Otu001760,1,0
Otu000266,Otu001760,1,0
Otu000646,Otu001760,1,0
Otu000761,Otu001760,1,0
Otu000534,Otu001770,1,0
Otu000492,Otu001802,1,0
Otu000832,Otu001802,1,0
Otu001018,Otu001802,1,0
Otu001423,Otu001802,1,0
Otu001473,Otu001802,1,0
Otu001737,Otu001802,1,0
Otu000474,Otu001813,1,0
Otu000274,Otu001829,1,0
Otu000404,Otu001829,1,0
Otu000448,Otu001829,1,0
Otu000463,Otu001829,1,0
Otu000549,Otu001829,1,0
Otu000630,Otu001829,1,0
Otu000662,Otu001829,1,0
Otu000716,Otu001829,1,0
Otu000820,Otu001829,1,0
Otu000857,Otu001829,1,0
Otu000926,Otu001829,1,0
Otu000995,Otu001829,1,0
Otu001230,Otu001829,1,0
Otu001387,Otu001829,1,0
Otu000466,Otu001835,1,0
Otu000591,Otu001835,1,0
Otu000680,Otu001835,1,0
Otu000917,Otu001835,1,0
Otu000199,Otu001853,1,0
Otu000561,Otu001853,1,0
Otu000612,Otu001853,1,0
Otu000815,Otu001853,1,0
Otu000868,Otu001853,1,0
Otu000086,Otu001899,1,0
Otu000239,Otu001899,1,0
Otu000285,Otu001899,1,0
Otu000586,Otu001913,1,0
Otu000600,Otu001913,1,0
Otu000620,Otu001913,1,0
Otu000675,Otu001913,1,0
Otu000711,Otu001913,1,0
Otu000772,Otu001913,1,0
Otu000775,Otu001913,1,0
Otu000840,Otu001913,1,0
Otu000953,Otu001913,1,0
Otu001074,Otu001913,1,0
